OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1919:1,,,,,,,,,,,,,,7.247333368
1919:2,,,,,,,,,,,,,,7.458000024
1919:3,,,,,,,,,,,,,,8.21666654
1919:4,,,,,,,,,,,,,,7.964000066
1920:1,,,,,,,,,,,,,,8.623999596
1920:2,,,,,,,,,,,,,,8.427333196
1920:3,,,,,,,,,,,,,,8.188333193
1920:4,,,,,,,,,,,,,,7.120999972
1921:1,,,,,,,,,,,,,,6.039666653
1921:2,,,,,,,,,,,,,,6.109666665
1921:3,,,,,,,,,,,,,,6.194000085
1921:4,,,,,,,,,,,,,,6.531333447
1922:1,,,,,,,,,,,,,,7.107333342
1922:2,,,,,,,,,,,,,,7.640666803
1922:3,,,,,,,,,,,,,,7.9496665
1922:4,,,,,,,,,,,,,,8.989333153
1923:1,,,,,,,,,,,,,,9.18599987
1923:2,,,,,,,,,,,,,,9.859999975
1923:3,,,,,,,,,,,,,,9.550999641
1923:4,,,,,,,,,,,,,,9.157666524
1924:1,,,,,,,,,,,,,,9.227666855
1924:2,,,,,,,,,,,,,,8.652000109
1924:3,,,,,,,,,,,,,,8.441333453
1924:4,,,,,,,,,,,,,,9.045666695
1925:1,,,,,,,,,,,,,,9.53700002
1925:2,,,,,,,,,,,,,,9.677666664
1925:3,,,,,,,,,,,,,,9.719666481
1925:4,,,,,,,,,,,,,,10.00066662
1926:1,,,,,,,,,,,,,,10.02866681
1926:2,,,,,,,,,,,,,,10.23900032
1926:3,,,,,,,,,,,,,,10.53433355
1926:4,,,,,,,,,,,,,,10.47800032
1927:1,,,,,,,,,,,,,,10.47800001
1927:2,,,,,,,,,,,,,,10.57633368
1927:3,,,,,,,,,,,,,,10.33766683
1927:4,,,,,,,,,,,,,,9.888333639
1928:1,,,,,,,,,,,,,,10.21100012
